Corporate,"Source of bookings (Mail, Portal or Direct)",Booker involved or direct ,Approval Reqd (Yes or No),Duty Type (G2G or P2P)
RELIANCE,Portal,Direct,No,P2P
ACCENTURE,Portal,Direct,No,P2P
ABBOTT,,,,
CHEIL,,,,
INDIA MEDTRONIC,Email,Direct,No,G2G
JNJ,Email,Bookers and direct both,No,G2G
TKM,,,,
HYCLONE,Email,Direct,Yes,G2G
CULVER MAX,Email,Bookers,No,G2G
SHELL,Email,Bookers and direct both,No,G2G
Ruder Finn,Email,Bookers,No,G2G
VODAFONE,Email,Bookers,No,G2G
INDIAN OIL,Email,Bookers,No,G2G
CPPIB,Email,Bookers,No,G2G
VIACOM,Email,Quest2travel portal mail,No,P2P
STAR INDIA,Email,Star travel desk portal mail,Yes needed if guest sends direct bookings,G2G
TOYOTA ENGINES,Email,Bookers,No,G2G
RADIANCE,Email,Bookers,No,G2G
Quest 2 Travel,Email,Quest2travel portal mail,No,G2G
PIPELINE INFRA,Email,Pipeline Portal and bookers and guest,No,G2G
FERRERO,Email,Bookers,No/If any changes in car type then approval needed,G2G
OTG,Email,Direct,No,G2G
HORIZON,Email,Bookers,No,G2G
NIIFL,Email,Bookers,No,G2G
RBI,Email,Bookers and direct both,No,G2G
L&T Technology,Email,L&T Portal mail,No,G2G
GALDERMA,Email,Booker,No,G2G
IndiaFirst Life Insurance,Email,Booker,No,G2G
RIYA TRAVELS,Email,Booker,No,G2G
HMA TRAVEL,Email,Portal and Email,No,G2G
UNICEF,Email,Bookers,No,G2G
YES BANK,Email,Bookers,No,G2G
ARCIL,Email,Bookers,No,G2G
Tata Communications,Email,Bookers,No,G2G
ICICI,Email,Quest2travel portal mail,No / If direct booking from guest then approval needed,G2G
MAGMA,Email,Bookers,No,G2G
JM Financial,Email,Bookers,No,G2G
ESKO GRAPHICS,Email,Bookers,No,G2G
CEPHEID,Email,Bookers,Yes,G2G
JUST UDO,Email,Bookers,No,G2G
LODHA GROUP,Email,Bookers,No,G2G
HUNTSMAN,Email,Bookers,No,G2G
