,Car name (As per mail),Vehicle Group (To be entered in Indecab)
,12 Seater Coach,NA
,14 Seater Tempo Traveller,NA
,17 Seater Coach,NA
,18 Seater Coach,NA
,20 Seater Coach,NA
,24 Seater Coach,NA
,27 Seater Coach,NA
,30 Seater Coach,NA
,35 Seater Coach,NA
,40 Seater Coach,NA
,45 Seater Coach,NA
,49 Seater Coach,NA
,9 Seater Coach,NA
,AC Coach,NA
,Audi A6,NA
,Audi Q7,NA
,BMW -03 Series,NA
,BMW X4 Roadster,NA
,BMW-05 Series,NA
,BMW-07 Series,NA
,Bentley,NA
,Ferrari,NA
,Honda Amaze,Maruti Dzire
,Honda City,Honda City
,Hyundai Aura,Maruti Dzire
,Hyundai Xcent,Maruti Dzire
,Kia Carnival,NA
,Luxury Coach,NA
,MG HECTOR,NA
,Maruti Ciaz,Honda City
,Maruti Dzire,Maruti Dzire
,Maruti Ertiga,SUV
,Medium,NA
,Mercedes - C Class 300,NA
,Mercedes - E Class,NA
,Mercedes - V Class,NA
,Mercedes -S Class,NA
,Mercedes Benz GLS,NA
,Porsche,NA
,Rolls Royce,NA
,SUV,SUV
,Small,Maruti Dzire
,Toyota Camry,NA
,Toyota Commuter,NA
,Toyota Corolla Altis,Honda City
,Toyota Crysta,Toyota Crysta
,Toyota Etios,Maruti Dzire
,Toyota Fortuner,NA
,Toyota Hycross,Toyota Hycross
,Toyota Vellfire,NA
,Urbania,NA
,ZS EV,NA
,Tata Tigor,Maruti Dzire
,Tata Indigo,Maruti Dzire
,Hyundai Verna,Honda City
,Small Sedan,Maruti Dzire
,Sedan,Maruti Dzire
,Premium Sedan,Honda City
